chromosome,start,end,strand,gene_type,gene_name
chr1,26693235,26782104,+,protein_coding,ARID1A
chr1,36466042,36483278,-,protein_coding,CSF3R
chr1,43337817,43354466,+,protein_coding,MPL
chr1,45329162,45340893,-,protein_coding,MUTYH
chr1,114704468,114716771,-,protein_coding,NRAS
chr1,119911552,120100779,-,protein_coding,NOTCH2
chr10,86756600,86932825,+,protein_coding,BMPR1A
chr11,102317449,102339403,+,protein_coding,BIRC3
chr11,108223043,108369102,+,protein_coding,ATM
chr11,119206297,119313926,+,protein_coding,CBL
chr12,22625074,22690665,+,protein_coding,ETNK1
chr12,25205245,25250936,-,protein_coding,KRAS
chr12,111405922,111451623,+,protein_coding,SH2B3
chr12,132623752,132687376,-,protein_coding,POLE
chr13,28003273,28100592,-,protein_coding,FLT3
chr15,66386836,66491544,+,protein_coding,MAP2K1
chr15,90083044,90102477,-,protein_coding,IDH2
chr15,90102648,90138016,+,lncRNA,IDH2-DT
chr16,2039814,2047866,-,protein_coding,NTHL1
chr16,68737291,68835537,+,protein_coding,CDH1
chr16,81739096,81962685,+,protein_coding,PLCG2
chr17,31094926,31382116,+,protein_coding,NF1
chr17,35092220,35121522,-,protein_coding,RAD51D
chr17,42199176,42276707,-,protein_coding,STAT5B
chr17,42313323,42388540,-,protein_coding,STAT3
chr17,48528525,48531011,-,protein_coding,HOXB1
chr17,58353675,58417595,-,protein_coding,RNF43
chr17,58692572,58735611,+,protein_coding,RAD51C
chr17,61679138,61863559,-,protein_coding,BRIP1
chr17,63928739,63932336,-,protein_coding,CD79B
chr17,76734114,76737333,-,protein_coding,SRSF2
chr18,44676926,44679717,-,lncRNA,SETBP1-DT
chr18,44680172,45068510,+,protein_coding,SETBP1
chr18,51028393,51085045,+,protein_coding,SMAD4
chr19,1177557,1228431,+,protein_coding,STK11
chr19,12938577,12944489,+,protein_coding,CALR
chr19,17824779,17848071,-,protein_coding,JAK3
chr19,41877278,41881372,+,protein_coding,CD79A
chr19,50384203,50418018,+,protein_coding,POLD1
chr2,25227854,25342590,-,protein_coding,DNMT3A
chr2,47192404,47345074,-,lncRNA,EPCAM-DT
chr2,47345157,47387601,+,protein_coding,EPCAM
chr2,47403066,47663146,+,protein_coding,MSH2
chr2,47527007,47535199,+,lncRNA,MSH2-OT1
chr2,47695529,47810063,+,protein_coding,MSH6
chr2,136114348,136118149,-,protein_coding,CXCR4
chr2,197388514,197435079,-,protein_coding,SF3B1
chr2,208236228,208266074,-,protein_coding,IDH1
chr2,208255246,208256181,+,lncRNA,IDH1-AS1
chr20,32358329,32439319,+,protein_coding,ASXL1
chr21,34787800,36004667,-,protein_coding,RUNX1
chr21,43092955,43107570,-,protein_coding,U2AF1
chr22,20982268,20999032,+,protein_coding,LZTR1
chr22,23786930,23838009,+,protein_coding,SMARCB1
chr22,28687742,28742422,-,protein_coding,CHEK2
chr22,29603555,29698598,+,protein_coding,NF2
chr3,36993349,37050846,+,protein_coding,MLH1
chr3,38138477,38143022,+,protein_coding,MYD88
chr3,41194740,41260096,+,protein_coding,CTNNB1
chr4,54229279,54298245,+,protein_coding,PDGFRA
chr4,54657917,54740715,+,protein_coding,KIT
chr4,55078480,55125595,-,protein_coding,KDR
chr4,105145874,105279816,+,protein_coding,TET2
chr4,105171353,105178063,-,lncRNA,TET2-AS1
chr5,1253146,1295068,-,protein_coding,TERT
chr5,112707497,112846239,+,protein_coding,APC
chr5,150113838,150155872,-,protein_coding,PDGFRB
chr5,171387115,171411810,+,protein_coding,NPM1
chr6,117287352,117425942,-,protein_coding,ROS1
chr7,2906141,3043867,-,protein_coding,CARD11
chr7,2944034,2947091,+,lncRNA,CARD11-AS1
chr7,5970924,6009106,-,protein_coding,PMS2
chr7,55019016,55211628,+,protein_coding,EGFR
chr7,55179749,55188934,-,lncRNA,EGFR-AS1
chr7,116672195,116798377,+,protein_coding,MET
chr7,129188632,129213545,+,protein_coding,SMO
chr7,140719326,140924929,-,protein_coding,BRAF
chr7,148807256,148884321,-,protein_coding,EZH2
chr9,4984389,5129948,+,protein_coding,JAK2
chr9,8314245,10613002,-,protein_coding,PTPRD
chr9,8858126,8864772,+,lncRNA,PTPRD-AS1
chr9,10613201,10620420,+,lncRNA,PTPRD-AS2
chr9,21966928,21967751,+,lncRNA,CDKN2A-DT
chr9,21967751,21995301,-,protein_coding,CDKN2A
chr9,136494432,136546048,-,protein_coding,NOTCH1
chrX,101349446,101390796,-,protein_coding,BTK
