chromosome	start	end	gene_id	score	strand	source	type	phase	attributes
chr1	26693235	26782104	ENSG00000117713.20	.	+	HAVANA	gene	.	ID=ENSG00000117713.20;gene_id=ENSG00000117713.20;gene_type=protein_coding;gene_name=ARID1A;level=1;hgnc_id=HGNC:11110;havana_gene=OTTHUMG00000004004.13
chr1	36466042	36483278	ENSG00000119535.18	.	-	HAVANA	gene	.	ID=ENSG00000119535.18;gene_id=ENSG00000119535.18;gene_type=protein_coding;gene_name=CSF3R;level=2;hgnc_id=HGNC:2439;havana_gene=OTTHUMG00000008010.7
chr1	43337817	43354466	ENSG00000117400.18	.	+	HAVANA	gene	.	ID=ENSG00000117400.18;gene_id=ENSG00000117400.18;gene_type=protein_coding;gene_name=MPL;level=2;hgnc_id=HGNC:7217;havana_gene=OTTHUMG00000007429.7
chr1	45329162	45340893	ENSG00000132781.20	.	-	HAVANA	gene	.	ID=ENSG00000132781.20;gene_id=ENSG00000132781.20;gene_type=protein_coding;gene_name=MUTYH;level=1;hgnc_id=HGNC:7527;havana_gene=OTTHUMG00000007682.11
chr1	114704468	114716771	ENSG00000213281.5	.	-	HAVANA	gene	.	ID=ENSG00000213281.5;gene_id=ENSG00000213281.5;gene_type=protein_coding;gene_name=NRAS;level=2;hgnc_id=HGNC:7989;havana_gene=OTTHUMG00000012059.3
chr1	119911552	120100779	ENSG00000134250.20	.	-	HAVANA	gene	.	ID=ENSG00000134250.20;gene_id=ENSG00000134250.20;gene_type=protein_coding;gene_name=NOTCH2;level=2;hgnc_id=HGNC:7882;havana_gene=OTTHUMG00000012177.8
chr10	86756600	86932825	ENSG00000107779.14	.	+	HAVANA	gene	.	ID=ENSG00000107779.14;gene_id=ENSG00000107779.14;gene_type=protein_coding;gene_name=BMPR1A;level=2;hgnc_id=HGNC:1076;tag=ncRNA_host;havana_gene=OTTHUMG00000018657.8
chr11	102317449	102339403	ENSG00000023445.16	.	+	HAVANA	gene	.	ID=ENSG00000023445.16;gene_id=ENSG00000023445.16;gene_type=protein_coding;gene_name=BIRC3;level=1;hgnc_id=HGNC:591;havana_gene=OTTHUMG00000167324.6
chr11	108223043	108369102	ENSG00000149311.20	.	+	HAVANA	gene	.	ID=ENSG00000149311.20;gene_id=ENSG00000149311.20;gene_type=protein_coding;gene_name=ATM;level=1;hgnc_id=HGNC:795;havana_gene=OTTHUMG00000166480.7
chr11	119206297	119313926	ENSG00000110395.7	.	+	HAVANA	gene	.	ID=ENSG00000110395.7;gene_id=ENSG00000110395.7;gene_type=protein_coding;gene_name=CBL;level=2;hgnc_id=HGNC:1541;havana_gene=OTTHUMG00000166170.7
chr12	22625074	22690665	ENSG00000139163.16	.	+	HAVANA	gene	.	ID=ENSG00000139163.16;gene_id=ENSG00000139163.16;gene_type=protein_coding;gene_name=ETNK1;level=1;hgnc_id=HGNC:24649;tag=overlapping_locus;havana_gene=OTTHUMG00000169008.9
chr12	25205245	25250936	ENSG00000133703.13	.	-	HAVANA	gene	.	ID=ENSG00000133703.13;gene_id=ENSG00000133703.13;gene_type=protein_coding;gene_name=KRAS;level=2;hgnc_id=HGNC:6407;havana_gene=OTTHUMG00000171193.4
chr12	111405922	111451623	ENSG00000111252.11	.	+	HAVANA	gene	.	ID=ENSG00000111252.11;gene_id=ENSG00000111252.11;gene_type=protein_coding;gene_name=SH2B3;level=1;hgnc_id=HGNC:29605;havana_gene=OTTHUMG00000169550.6
chr12	132623752	132687376	ENSG00000177084.18	.	-	HAVANA	gene	.	ID=ENSG00000177084.18;gene_id=ENSG00000177084.18;gene_type=protein_coding;gene_name=POLE;level=1;hgnc_id=HGNC:9177;havana_gene=OTTHUMG00000168045.7
chr13	28003273	28100592	ENSG00000122025.15	.	-	HAVANA	gene	.	ID=ENSG00000122025.15;gene_id=ENSG00000122025.15;gene_type=protein_coding;gene_name=FLT3;level=2;hgnc_id=HGNC:3765;havana_gene=OTTHUMG00000016646.4
chr15	66386836	66491544	ENSG00000169032.10	.	+	HAVANA	gene	.	ID=ENSG00000169032.10;gene_id=ENSG00000169032.10;gene_type=protein_coding;gene_name=MAP2K1;level=1;hgnc_id=HGNC:6840;havana_gene=OTTHUMG00000133196.5
chr15	90083044	90102477	ENSG00000182054.10	.	-	HAVANA	gene	.	ID=ENSG00000182054.10;gene_id=ENSG00000182054.10;gene_type=protein_coding;gene_name=IDH2;level=1;hgnc_id=HGNC:5383;havana_gene=OTTHUMG00000149815.2
